n,eta,sigma_y,x_diff_01,x_diff_02,x_diff_03,x_diff_04,x_diff_05,x_diff_06,x_diff_07,x_diff_08
0.30000000,0.00100000,0.00000000,1.4091191291809082,4.57784366607666,8.36567211151123,11.836268424987793,14.865715026855469,17.545928955078125,20.385765075683594,23.070201873779297
0.30000000,0.00100000,44.44444444,1.2651829719543457,3.984711170196533,7.043936729431152,9.622645378112793,11.201580047607422,11.970917701721191,12.076048851013184,12.076274871826172
0.30000000,0.00100000,88.88888889,1.1387743949890137,3.5224404335021973,6.009311676025391,7.980347633361816,8.854513168334961,8.887584686279297,8.887635231018066,8.887635231018066
0.30000000,0.00100000,133.33333333,1.0294184684753418,3.1452112197875977,5.207629203796387,6.653131484985352,7.0859785079956055,7.092252731323242,7.0926713943481445,7.0926713943481445
0.30000000,0.00100000,177.77777778,0.9366497993469238,2.8259501457214355,4.575109004974365,5.64610481262207,5.881342887878418,5.889554977416992,5.889504432678223,5.889386177062988
0.30000000,0.00100000,222.22222222,0.8561632633209229,2.548483371734619,4.055177211761475,4.8860368728637695,5.0302629470825195,5.02923059463501,5.029420852661133,5.029378890991211
0.30000000,0.00100000,266.66666667,0.783846378326416,2.2994680404663086,3.600517749786377,4.238056182861328,4.291966915130615,4.292552947998047,4.292323112487793,4.293065071105957
0.30000000,0.00100000,311.11111111,0.7172722816467285,2.065464973449707,3.1857762336730957,3.6471548080444336,3.650937080383301,3.6477155685424805,3.650707721710205,3.65065336227417
0.30000000,0.00100000,355.55555556,0.6563093662261963,1.8475093841552734,2.795917510986328,3.1066174507141113,3.099367141723633,3.1008496284484863,3.1044907569885254,3.1003570556640625
0.30000000,0.00100000,400.00000000,0.5996465682983398,1.638801097869873,2.4270076751708984,2.6117520332336426,2.613522529602051,2.61617374420166,2.6179323196411133,2.61387300491333
0.30000000,33.33422222,0.00000000,1.1294307708740234,3.433356285095215,5.5364532470703125,6.822267532348633,7.24129581451416,7.350597381591797,7.418303489685059,7.458043098449707
0.30000000,33.33422222,44.44444444,1.0301802158355713,3.1049084663391113,4.954670429229736,6.018694877624512,6.329109191894531,6.411576271057129,6.440328598022461,6.449790954589844
0.30000000,33.33422222,88.88888889,0.9404158592224121,2.812666893005371,4.444307327270508,5.331060409545898,5.577601432800293,5.630108833312988,5.637042999267578,5.6396942138671875
0.30000000,33.33422222,133.33333333,0.860384464263916,2.552262783050537,3.9843592643737793,4.725716590881348,4.910568714141846,4.925625324249268,4.926621437072754,4.92749547958374
0.30000000,33.33422222,177.77777778,0.7906222343444824,2.3142099380493164,3.573831081390381,4.166599273681641,4.267790794372559,4.267435550689697,4.267650127410889,4.26766300201416
0.30000000,33.33422222,222.22222222,0.7260982990264893,2.093921184539795,3.1866326332092285,3.645720958709717,3.6802573204040527,3.6809840202331543,3.6807422637939453,3.6811304092407227
0.30000000,33.33422222,266.66666667,0.6669576168060303,1.8821005821228027,2.8257670402526855,3.162815570831299,3.165682315826416,3.1645359992980957,3.1651196479797363,3.166243076324463
0.30000000,33.33422222,311.11111111,0.611767053604126,1.6818814277648926,2.4811477661132812,2.7090067863464355,2.7062230110168457,2.7065701484680176,2.7078709602355957,2.707279682159424
